"Date","Advertiser account name","Advertiser account ID","Total cost","Impressions","CTR","DPV","ATC","Purchases","New-to-brand purchases","Percent of purchases new-to-brand","Sales USD","New-to-brand product sales USD","Total DPV","Total ATC","Total purchases","Total new-to-brand purchases","Total new-to-brand purchases clicks","Total percent of purchases new-to-brand","Total sales USD","Total ROAS","Total new-to-brand product sales USD"
"May 08, 2026","Mirai Clinical","=""586159270639080960""","2668.37179","1304204","0.6070%","14043","405","158","35","22.1519%","4926.53000","0.00000","14078","414","158","35","0","22.1519%","4926.53000","1.84627","922.48000"
"May 09, 2026","Mirai Clinical","=""586159270639080960""","2652.40229","1058344","0.7532%","14970","460","171","50","29.2398%","5390.33000","0.00000","15045","468","172","50","0","29.0698%","5440.27000","2.05107","1472.39000"
"May 10, 2026","Mirai Clinical","=""586159270639080960""","2663.65079","830641","0.9561%","15911","688","196","64","32.6531%","5986.47000","0.00000","15987","698","197","64","0","32.4873%","6011.44000","2.25684","1798.40000"
"May 11, 2026","Mirai Clinical","=""586159270639080960""","2657.50935","854117","0.8457%","14259","621","235","77","32.7660%","7282.45000","0.00000","14328","632","236","77","0","32.6271%","7307.42000","2.74973","2184.88000"
"May 12, 2026","Mirai Clinical","=""586159270639080960""","2643.56457","820551","0.9295%","14678","550","217","73","33.6406%","6619.89000","0.00000","14746","566","218","73","0","33.4862%","6644.86000","2.51360","1941.30000"
"May 13, 2026","Mirai Clinical","=""586159270639080960""","2659.70561","772006","1.0352%","15093","581","210","62","29.5238%","6800.99000","0.00000","15147","591","210","62","0","29.5238%","6800.99000","2.55705","1665.12000"
"May 14, 2026","Mirai Clinical","=""586159270639080960""","2643.27358","870908","0.7016%","12080","555","209","64","30.6220%","6639.86000","0.00000","12146","560","209","64","0","30.6220%","6639.86000","2.51198","1733.73000"
"May 15, 2026","Mirai Clinical","=""586159270639080960""","2653.36939","788004","1.0193%","15827","677","242","86","35.5372%","7256.74000","0.00000","15885","686","243","86","0","35.3909%","7281.71000","2.74433","2415.86000"
"May 16, 2026","Mirai Clinical","=""586159270639080960""","2649.61138","811152","1.0446%","15838","580","224","107","47.7679%","6704.68000","0.00000","15897","589","224","107","0","47.7679%","6704.68000","2.53044","2917.85000"
"May 17, 2026","Mirai Clinical","=""586159270639080960""","2660.39726","805873","1.0751%","16069","687","242","112","46.2810%","6967.22000","0.00000","16142","692","243","112","0","46.0905%","6992.19000","2.62825","3080.07000"
"May 18, 2026","Mirai Clinical","=""586159270639080960""","2652.32135","806424","1.1230%","17123","635","287","118","41.1150%","8475.14000","0.00000","17195","654","288","118","0","40.9722%","8525.08000","3.21420","3222.36000"
"May 19, 2026","Mirai Clinical","=""586159270639080960""","2569.98112","855135","0.9943%","15976","568","221","96","43.4389%","6616.22000","0.00000","16063","585","221","96","0","43.4389%","6616.22000","2.57442","2541.89000"
"May 20, 2026","Mirai Clinical","=""586159270639080960""","2555.83977","776712","1.1365%","16236","552","213","94","44.1315%","6266.59000","0.00000","16288","560","213","94","0","44.1315%","6266.59000","2.45187","2502.68000"
"May 21, 2026","Mirai Clinical","=""586159270639080960""","2540.70168","899985","0.9423%","15225","543","229","98","42.7948%","6913.99000","0.00000","15290","551","229","98","0","42.7948%","6913.99000","2.72129","2712.92000"
"May 22, 2026","Mirai Clinical","=""586159270639080960""","2579.73946","831180","1.0596%","15168","502","195","71","36.4103%","5890.24000","0.00000","15230","512","195","71","0","36.4103%","5890.24000","2.28327","1928.21000"
"May 23, 2026","Mirai Clinical","=""586159270639080960""","2565.25044","875596","1.0423%","16276","606","210","88","41.9048%","6301.12000","0.00000","16344","616","210","88","0","41.9048%","6301.12000","2.45634","2479.58000"
"May 24, 2026","Mirai Clinical","=""586159270639080960""","2567.41029","797430","1.1240%","14978","606","228","86","37.7193%","6864.51000","0.00000","16756","622","228","86","0","37.7193%","6864.51000","2.67371","2469.42000"
"May 25, 2026","Mirai Clinical","=""586159270639080960""","2577.02455","868002","1.1274%","17668","630","207","97","46.8599%","6510.57000","0.00000","17783","641","208","97","0","46.6346%","6535.54000","2.53608","2871.70000"
"May 26, 2026","Mirai Clinical","=""586159270639080960""","2564.37953","955923","0.9288%","15240","554","210","86","40.9524%","6335.54000","0.00000","15337","566","211","86","0","40.7583%","6360.51000","2.48033","2456.27000"
"May 27, 2026","Mirai Clinical","=""586159270639080960""","2584.40592","849426","1.1460%","17184","551","245","92","37.5510%","7082.23000","0.00000","17272","568","246","92","0","37.3984%","7107.20000","2.75003","2496.60000"
"May 28, 2026","Mirai Clinical","=""586159270639080960""","2561.37751","831161","1.0856%","16381","571","281","106","37.7224%","8468.72000","0.00000","16459","583","282","106","0","37.5887%","8493.69000","3.31606","2855.33000"
"May 29, 2026","Mirai Clinical","=""586159270639080960""","2617.01005","959986","1.0680%","18233","666","280","114","40.7143%","7920.46000","0.00000","18310","676","282","115","0","40.7801%","7945.46000","3.03608","2896.32000"
"May 30, 2026","Mirai Clinical","=""586159270639080960""","2044.37136","615156","1.0872%","13494","664","266","122","45.8647%","8015.74000","0.00000","13582","679","266","122","0","45.8647%","8015.74000","3.92088","3275.89000"
"May 31, 2026","Mirai Clinical","=""586159270639080960""","1891.83188","574536","1.0816%","13954","736","267","132","49.4382%","7647.54000","0.00000","14046","752","267","132","0","49.4382%","7647.54000","4.04240","3447.02000"
"Jun 01, 2026","Mirai Clinical","=""586159270639080960""","4513.84557","1104339","0.7291%","15460","653","286","110","38.4615%","8714.68000","0.00000","15545","672","289","111","0","38.4083%","8764.63000","1.94172","3127.72000"
"Jun 02, 2026","Mirai Clinical","=""586159270639080960""","3518.75522","920872","0.4911%","8890","595","250","108","43.2000%","7374.02000","0.00000","8964","606","252","108","0","42.8571%","7498.87000","2.13111","3074.71000"
"Jun 03, 2026","Mirai Clinical","=""586159270639080960""","3560.47773","1141489","0.4698%","10563","610","260","86","33.0769%","7596.79000","0.00000","10644","619","261","87","0","33.3333%","7621.76000","2.14066","2528.03000"
"Jun 04, 2026","Mirai Clinical","=""586159270639080960""","3571.38313","903693","0.5287%","9980","628","270","113","41.8519%","8191.04000","0.00000","10046","641","270","113","0","41.8519%","8191.04000","2.29352","3029.79000"
"Jun 05, 2026","Mirai Clinical","=""586159270639080960""","3580.30215","867293","0.6422%","10154","663","271","103","38.0074%","7324.46000","0.00000","10225","672","271","103","0","38.0074%","7324.46000","2.04577","2588.79000"
"Jun 06, 2026","Mirai Clinical","=""586159270639080960""","3530.60925","891520","0.6085%","9212","655","295","105","35.5932%","7696.50000","0.00000","9280","664","295","105","0","35.5932%","7696.50000","2.17994","2474.12000"
